,OverallPlantYield_bbl_day,OverallPlantEnergyEfficiency_%,TotalRevenue_$,TotalCost_$
2023-01-01 00:00:00,2038.3031910690443,1845.5456578334022,163064.25528552354,57304.445869673844
2023-01-01 01:00:00,2520.8993654830165,1830.9460955815243,201671.9492386413,68749.76450209384
2023-01-01 02:00:00,2336.964153892574,1706.9349738734895,186957.1323114059,62064.18146504862
2023-01-01 03:00:00,2171.1392000954775,1738.7490105917184,173691.13600763818,59072.009978903836
2023-01-01 04:00:00,2280.4105534580835,1648.6450956659598,182432.84427664668,62671.83318776349
2023-01-01 05:00:00,2293.1092790656903,1717.4078870149426,183448.74232525524,62426.69010432246
2023-01-01 06:00:00,1811.6274290020128,2272.8000121545306,144930.194320161,54104.01092173372
2023-01-01 07:00:00,2212.047674019999,1937.7970464159798,176963.8139215999,61860.80234896488
2023-01-01 08:00:00,2063.1231571769713,1888.7301557834967,165049.8525741577,58793.415829395875
2023-01-01 09:00:00,2128.3562240472143,2084.288658331487,170268.49792377715,61516.64718736271
2023-01-01 10:00:00,2290.6114394273823,1912.0303076479527,183248.9151541906,62919.17160546253
2023-01-01 11:00:00,2058.9988872689673,1773.5792040272383,164719.9109815174,56581.36238658587
2023-01-01 12:00:00,2260.85307604214,1702.5139156861187,180868.2460833712,61153.15402201931
2023-01-01 13:00:00,2301.507471038278,1679.1937761518573,184120.59768306222,64315.57970239261
2023-01-01 14:00:00,2282.296342712177,1832.0564746819193,182583.70741697418,63207.33962138146
2023-01-01 15:00:00,2301.569401659497,2071.8660232063658,184125.55213275977,64615.239639089414
2023-01-01 16:00:00,2176.600657613161,1744.9352822139595,174128.05260905286,60050.533549087515
2023-01-01 17:00:00,2019.0938099782825,1921.884083551241,161527.5047982626,55702.26510162254
2023-01-01 18:00:00,2205.776011751521,1881.0018811594969,176462.08094012167,61564.76431398955
2023-01-01 19:00:00,2059.4922483383657,1737.8767920371217,164759.37986706925,57223.388426382066
2023-01-01 20:00:00,2333.811457232038,1624.3401828833942,186704.91657856302,62306.12783520075
2023-01-01 21:00:00,2434.0003568707716,1509.5094276858172,194720.02854966174,61084.40191398165
2023-01-01 22:00:00,2313.9512639172326,1692.6493475686862,185116.1011133786,64215.837734557346
2023-01-01 23:00:00,2256.645188818803,1787.0002662081586,180531.61510550423,62795.03706978803
2023-01-02 00:00:00,2396.957354437015,1781.2585223535368,191756.5883549612,67595.33708027792
2023-01-02 01:00:00,2247.563060541259,1628.991599678321,179805.0448433007,61629.694763934516
2023-01-02 02:00:00,2321.700462479389,1588.3916406974427,185736.0369983511,59770.92747394162
2023-01-02 03:00:00,2422.078785204455,1678.223186830292,193766.30281635642,65176.55972958982
2023-01-02 04:00:00,2496.990617668246,1610.9751334174139,199759.24941345968,64335.82948295907
2023-01-02 05:00:00,2499.273818213692,1628.0849139978577,199941.90545709536,66882.96564909152
2023-01-02 06:00:00,2286.771215943513,1698.2233767358853,182941.69727548107,61899.79212559445
2023-01-02 07:00:00,2120.8564172239294,1814.175690659904,169668.51337791435,57668.56294031115
2023-01-02 08:00:00,2011.1591970638854,2000.5849614976905,160892.73576511082,53807.81515247993
2023-01-02 09:00:00,2069.30983012827,1919.1696974830165,165544.7864102616,58106.51964387456
2023-01-02 10:00:00,2271.120867736293,1826.3994453586001,181689.66941890342,61104.29845198452
2023-01-02 11:00:00,2222.394981845986,1883.5615876233553,177791.59854767888,62737.87177547929
2023-01-02 12:00:00,2338.497899184888,1969.1115805513216,187079.83193479103,66596.48302967176
2023-01-02 13:00:00,2246.823686197715,1763.8293898852237,179745.89489581718,59739.78224521132
2023-01-02 14:00:00,2195.03530465269,1899.9515780216561,175602.8243722152,60757.00804101126
2023-01-02 15:00:00,2423.931364706973,1747.7691853943334,193914.50917655783,65086.04955876205
2023-01-02 16:00:00,2394.885137588712,1565.6453496935394,191590.81100709696,65096.4583644659
2023-01-02 17:00:00,2331.7894532339224,1790.6359582939167,186543.1562587138,63161.21508228594
2023-01-02 18:00:00,2094.1900420297025,1681.575944920915,167535.2033623762,56402.05582259045
2023-01-02 19:00:00,2433.3745309637125,1398.7735763091666,194669.962477097,60532.30097567664
2023-01-02 20:00:00,2352.49047749441,1776.2891496825973,188199.23819955278,63431.08805818813
2023-01-02 21:00:00,2286.299647279715,1537.09433358875,182903.9717823772,59786.88996930186
2023-01-02 22:00:00,2494.5823191773416,1645.1390759899639,199566.58553418732,68362.05004281417
2023-01-02 23:00:00,2437.6475149310672,1598.736054046027,195011.8011944854,62788.42437906176
2023-01-03 00:00:00,2105.7596639910444,1730.4075863599444,168460.77311928355,58067.32517759992
2023-01-03 01:00:00,2457.941231569508,1650.9183808670123,196635.29852556065,66590.72901184185
